SKUNumber,SKUDescription,UnitSize,UnitsPerCase,QtySoldInMonth,UnitofMeasureSold,LicNumber,LicName,CasePrice,UnitPrice
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,77322900,4TH AVENUE LIQUOR STORE,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,77323300,CROWFOOT WINE & SPIRITS- SUNSET RIDGE,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,77353300,SAFEWAY LIQUOR (CROWFOOT),71.16,11.86
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,2,CS,77353400,SAFEWAY LIQUOR (GARRISON WOODS),71.16,11.86
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,77423700,SOLO LIQUOR STORE (TUSCANY),71.16,11.86
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,77434500,TOWNHOUSE LIQUOR,71.16,11.86
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,77472300,CO-OP WINE SPIRITS BEER - AUBURN BAY,71.16,11.86
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,77500800,WINE & BEYOND AT SAGE HILL CROSSING,71.16,11.86
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,77565100,SOLO LIQUOR STORE (COCHRANE),71.16,11.86
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,2,CS,77624600,BANFF VOYAGER INN,71.16,11.86
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,77674600,DISTILLED LIQUOR CO.,71.16,11.86
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,77728800,SAFEWAY LIQUOR SHAWNESSY,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,77741700,CO-OP WINE SPIRITS BEER - MOUNTAIN RIDGE,71.16,11.86
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,77816100,CHATEAU LIQUOR CANMORE,71.16,11.86
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,77816500,HEART MOUNTAIN STORE/CAFE,71.16,11.86
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,77816500,HEART MOUNTAIN STORE/CAFE,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,77901300,58TH AVENUE LIQUOR STORE,71.16,11.86
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,75413400,SOBEYS LIQUOR (SPRUCE GROVE),71.16,11.86
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,75413400,SOBEYS LIQUOR (SPRUCE GROVE),75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,75414100,ROYAL SPIRITS & WINES,71.16,11.86
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,2,CS,75480200,SOBEYS LIQUOR (LAKELAND),71.16,11.86
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,2,CS,76226200,SOBEYS LIQUOR (TUSCANY),71.16,11.86
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,4,CS,76310500,SOLO LIQUOR STORE #8,71.16,11.86
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,2,CS,76310500,SOLO LIQUOR STORE #8,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,76474100,LIQUOR DEPOT AT BRENTWOOD,71.16,11.86
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,3,CS,76474700,LIQUOR DEPOT AT CASCADE,71.16,11.86
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,76601400,SOBEYS LIQUOR (SOUTHBROOK),75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,76609700,SUNDANCE WINE MARKET,71.16,11.86
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,76654200,HAPPY'S LIQUOR STORE,71.16,11.86
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,76843900,LITTLE GUY LIQUOR CO.,71.16,11.86
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77130500,EVERYTHING WINE AND MORE,71.16,11.86
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77159300,VINE ARTS WINE AND SPIRITS,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77264200,LIQUOR POINT,71.16,11.86
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77293400,SOUTH COUNTRY CO-OP @ CHINOOK LIQUOR,71.16,11.86
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77352900,SAFEWAY LIQUOR - LEDUC,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77353000,SAFEWAY LIQUOR - FAIRWAY PLAZA,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77353200,SAFEWAY LIQUOR (SOUTH TRAIL),75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,2,CS,77353400,SAFEWAY LIQUOR (GARRISON WOODS),71.16,11.86
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77353400,SAFEWAY LIQUOR (GARRISON WOODS),75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,3,CS,77364100,SPIRITS WEST,71.16,11.86
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77378300,SOBEYS LIQUOR (KINGSVIEW),71.16,11.86
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77391100,CITY CELLARS,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,3,CS,77421600,ROSE & CROWN BANFF,71.16,11.86
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,2,CS,77434500,TOWNHOUSE LIQUOR,71.16,11.86
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77461400,CRAFT CELLARS,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77465900,WHERE THE BUFFALO ROAM SALOON,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77500800,WINE & BEYOND AT SAGE HILL CROSSING,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77541300,SOBEYS LIQUOR (COLISEUM),71.16,11.86
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77622400,BOW TRAIL (BK LIQUOR),71.16,11.86
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77624600,BANFF VOYAGER INN,71.16,11.86
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77718700,CRAFT BEER NATION,71.16,11.86
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77725800,121 JASPER LIQUOR,71.16,11.86
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77728800,SAFEWAY LIQUOR SHAWNESSY,75.66,12.61
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77816200,WILLOW PARK WINES & SPIRITS,71.16,11.86
792566,GEORGETOWN BROWN ALE 473ML CAN 4-PK CLS,1892,6,1,CS,77845000,COLLECTIVE-A CRAFT BEER SHOP,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,71811400,ANDREW HILTON WINE & SPIRITS,71.16,11.86
